City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,16.46,85,100,2.06,US,1725947526
1,arraial do cabo,-22.9661,-42.0278,22.15,86,0,12.55,BR,1725947541
2,waitangi,-43.9535,-176.5597,9.9,93,18,0.89,NZ,1725947526
3,grytviken,-54.2811,-36.5092,0.46,90,100,3.74,GS,1725947531
4,remire-montjoly,4.9167,-52.2667,25.02,94,59,0.0,GF,1725947598
5,tura,25.5198,90.2201,31.52,66,26,1.5,IN,1725947557
6,rock springs,41.5875,-109.2029,18.69,42,0,5.66,US,1725947688
7,st. john's,47.5649,-52.7093,16.1,86,100,5.14,CA,1725947531
8,bayevo,53.2833,80.7667,19.57,55,54,2.36,RU,1725947839
9,bathsheba,13.2167,-59.5167,27.34,89,20,3.09,BB,1725947839
10,talnakh,69.4865,88.3972,2.04,97,100,6.44,RU,1725947525
11,albany,42.6001,-73.9662,14.7,78,72,0.45,US,1725947236
12,margaret river,-33.95,115.0667,17.37,60,82,6.22,AU,1725947533
13,keflavik,64.0049,-22.5624,6.24,56,40,13.89,IS,1725947584
14,mamou,10.5,-12.0,19.8,99,100,0.39,GN,1725947840
15,hermanus,-34.4187,19.2345,11.56,72,0,7.6,ZA,1725947524
16,stanley,54.868,-1.6985,13.49,86,75,6.69,GB,1725947556
17,badger,64.8,-147.5333,10.93,87,75,0.0,US,1725947526
18,ribeira grande,38.5167,-28.7,21.54,83,96,4.02,PT,1725947560
19,wailua homesteads,22.0669,-159.378,23.44,77,0,3.6,US,1725947530
20,margate,51.3813,1.3862,11.6,87,84,8.61,GB,1725947390
21,yangambi,0.8102,24.4336,22.78,95,59,0.84,CD,1725947841
22,atafu village,-8.5421,-172.5159,28.27,81,21,9.51,TK,1725947532
23,polyarnyy,69.1989,33.4478,16.0,65,21,8.79,RU,1725947581
24,puerto ayora,-0.7393,-90.3518,20.31,99,99,1.79,EC,1725947565
25,port-aux-francais,-49.35,70.2167,0.48,66,97,18.17,TF,1725947526
26,dzhetygara,52.1908,61.2006,18.8,61,100,2.94,KZ,1725947842
27,port mathurin,-19.6833,63.4167,22.24,76,28,6.59,MU,1725947536
28,qionghai,19.2425,110.4642,24.43,98,100,1.6,CN,1725947842
29,konarka,19.9,86.1167,31.0,71,100,7.58,IN,1725947842
30,tiksi,71.6872,128.8694,8.62,64,90,0.52,RU,1725947539
31,willemstad,12.1084,-68.9335,28.95,87,20,4.12,CW,1725947843
32,mil'kovo,55.6078,37.7956,18.08,49,73,3.99,RU,1725947843
33,sucua,-2.4667,-78.1667,19.76,80,57,1.67,EC,1725947843
34,edinburgh of the seven seas,-37.0676,-12.3116,13.53,80,32,5.98,SH,1725947536
35,georgetown,5.4112,100.3354,31.64,73,20,3.6,MY,1725947334
36,izazi,-7.2,35.7333,26.14,45,50,1.42,TZ,1725947844
37,bassar,9.25,0.7833,21.52,97,100,0.39,TG,1725947844
38,arenzano,44.4052,8.6832,21.85,59,60,5.66,IT,1725947844
39,aasiaat,68.7098,-52.8699,-4.42,77,10,4.84,GL,1725947582
40,george town,5.4112,100.3354,31.64,73,20,3.6,MY,1725947732
41,ancud,-41.8697,-73.8203,7.42,86,98,4.95,CL,1725947560
42,oranjemund,-28.55,16.4333,16.35,34,0,3.4,NA,1725947844
43,jamestown,42.097,-79.2353,14.8,100,20,1.54,US,1725947558
44,emerald,-23.5333,148.1667,29.63,31,0,5.54,AU,1725947845
45,adamstown,-25.066,-130.1015,19.25,82,0,10.77,PN,1725947530
46,udachny,66.4167,112.4,9.91,62,96,0.89,RU,1725947530
47,anadyr,64.75,177.4833,9.28,70,20,6.71,RU,1725947553
48,yellowknife,62.456,-114.3525,10.79,100,100,3.09,CA,1725947531
49,blackmans bay,-43.0167,147.3167,17.07,64,99,3.21,AU,1725947524
50,kamphaeng phet,16.25,99.5,27.31,82,100,0.81,TH,1725947845
51,callao,-12.0667,-77.15,17.07,88,100,2.57,PE,1725947578
52,shchyolkino,45.4291,35.8223,22.78,74,0,2.31,UA,1725947846
53,puerto natales,-51.7236,-72.4875,0.78,94,70,2.09,CL,1725947532
54,chonchi,-42.6128,-73.8092,6.73,95,100,2.31,CL,1725947576
55,at tall,33.6103,36.3107,20.5,34,0,1.07,SY,1725947846
56,yuzhno-kurilsk,44.0306,145.8556,18.16,84,100,6.45,RU,1725947540
57,invercargill,-46.4,168.35,7.23,82,94,4.92,NZ,1725947441
58,luanda,-8.8368,13.2343,22.0,83,100,2.06,AO,1725947602
59,whitehorse,60.7161,-135.0538,10.43,66,75,5.14,CA,1725947547
60,vadso,70.0744,29.7487,15.09,77,0,7.72,NO,1725947574
61,utrik,11.2278,169.8474,28.62,81,98,6.94,MH,1725947539
62,darnah,32.767,22.6367,28.34,45,66,3.49,LY,1725947847
63,longyearbyen,78.2186,15.6401,-0.09,69,0,3.6,SJ,1725947531
64,yinchuan,38.4681,106.2731,16.2,71,100,2.77,CN,1725947847
65,kruisfontein,-34.0033,24.7314,10.14,58,11,1.97,ZA,1725947232
66,ushuaia,-54.8,-68.3,2.81,70,0,6.17,AR,1725947423
67,hovd,48.0056,91.6419,17.74,17,0,2.4,MN,1725947848
68,college,64.8569,-147.8028,10.97,85,75,0.0,US,1725947546
69,thurgoona,-36.0451,146.9919,17.31,60,3,1.42,AU,1725947848
70,vilyuchinsk,52.9306,158.4028,18.15,63,23,2.72,RU,1725947572
71,berezovyy,51.6667,135.7,18.66,46,1,6.75,RU,1725947848
72,iskateley,67.6803,53.1512,17.7,68,11,5.73,RU,1725947546
73,naliya,23.2667,68.8333,30.26,62,92,6.51,IN,1725947849
74,happy valley-goose bay,53.3168,-60.3315,11.17,71,75,8.23,CA,1725947529
75,ayas,40.0193,32.3322,23.17,37,5,1.07,TR,1725947849
76,aral,40.5156,81.2636,25.34,21,100,3.97,CN,1725947849
77,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,45,20,5.0,RU,1725947560
78,ilulissat,69.2167,-51.1,1.01,60,7,1.54,GL,1725947527
79,colonia,50.9333,6.95,14.42,87,75,4.12,DE,1725947850
80,torghay,49.6339,63.4981,23.52,40,48,5.89,KZ,1725947541
81,port-cartier,50.0334,-66.8654,11.22,77,98,4.94,CA,1725947850
82,kitimat,54.0524,-128.6534,10.51,42,46,0.33,CA,1725947850
83,pitea,65.3172,21.4794,14.65,77,85,4.96,SE,1725947850
84,darasun,51.6667,114.0,19.01,33,21,7.82,RU,1725947850
85,choibalsan,48.0667,114.5,20.21,26,0,8.7,MN,1725947850
86,cidreira,-30.1811,-50.2056,16.41,99,74,5.48,BR,1725947851
87,taoudenni,22.6783,-3.9836,34.14,38,58,3.67,ML,1725947851
88,bilibino,68.0546,166.4372,5.33,70,99,0.88,RU,1725947533
89,bredasdorp,-34.5322,20.0403,10.29,73,5,4.42,ZA,1725947527
90,saint-joseph,-21.3667,55.6167,25.21,70,17,4.13,RE,1725947852
91,ponta delgada,37.7333,-25.6667,21.4,83,20,3.6,PT,1725947852
92,odacho-oda,35.1833,132.5,28.81,78,31,2.11,JP,1725947852
93,adam,22.3756,57.5233,35.23,30,6,2.52,OM,1725947599
94,san pedro pochutla,15.7333,-96.4667,25.95,92,100,2.14,MX,1725947852
95,escanaba,45.7453,-87.0646,9.98,100,0,0.0,US,1725947827
96,cabo san lucas,22.8909,-109.9124,30.42,72,10,1.79,MX,1725947588
97,nova sintra,14.8667,-24.7167,26.58,77,54,4.96,CV,1725947538
98,lakatoro,-16.0999,167.4164,25.31,76,19,7.52,VU,1725947853
99,melekeok village,7.4957,134.6367,26.31,89,100,3.6,PW,1725947853
100,phalaborwa,-23.943,31.1411,15.7,69,100,6.06,ZA,1725947853
101,gwanda,-20.9333,29.0,15.69,82,100,6.17,ZW,1725947853
102,isafjordur,66.0755,-23.124,3.63,68,100,10.72,IS,1725947539
103,puerto san jose,13.9256,-90.8244,26.63,84,74,2.13,GT,1725947558
104,lihue,21.9789,-159.3672,23.77,78,0,3.6,US,1725947538
105,papatowai,-46.5619,169.4708,6.32,84,98,7.03,NZ,1725947534
106,new plymouth,-39.0667,174.0833,13.78,100,17,6.31,NZ,1725947854
107,barkhan,29.8977,69.5256,30.06,30,0,1.41,PK,1725947854
108,sinan,34.8262,126.1086,25.37,85,0,5.46,KR,1725947854
109,avarua,-21.2078,-159.775,23.03,83,20,3.09,CK,1725947536
110,sedhiou,12.7081,-15.5569,23.66,98,100,2.5,SN,1725947854
111,susuman,62.7833,148.1667,9.06,76,92,6.28,RU,1725947525
112,alice springs,-23.7,133.8833,29.75,20,100,2.06,AU,1725947575
113,mikun',62.3547,50.0771,17.88,58,50,1.89,RU,1725947855
114,yigo village,13.5361,144.8886,28.16,85,75,9.26,GU,1725947855
115,fale old settlement,-9.3852,-171.2468,28.29,82,13,9.74,TK,1725947547
116,san pedro,14.35,121.0167,30.73,71,40,6.17,PH,1725947587
117,san antonio de pale,-1.4014,5.6325,24.09,86,99,5.43,GQ,1725947528
118,chernomorskoye,45.5039,32.6997,22.78,72,75,1.99,UA,1725947856
119,nagqu,31.5,92.0,14.04,47,44,2.13,CN,1725947534
120,karystos,38.0133,24.4161,26.9,79,89,6.08,GR,1725947856
121,south upi,6.8333,124.15,26.9,69,94,2.59,PH,1725947856
122,camacupa,-12.0167,17.4833,19.26,26,64,1.39,AO,1725947856
123,mar del plata,-38.0023,-57.5575,11.4,97,100,2.06,AR,1725947185
124,ola,59.5833,151.2833,10.93,79,100,1.76,RU,1725947563
125,hawaiian paradise park,19.5933,-154.9731,23.83,90,34,0.84,US,1725947592
126,samraong,12.4526,105.5873,30.22,82,100,1.42,KH,1725947857
127,gadzhiyevo,69.2551,33.3362,16.45,64,19,8.55,RU,1725947572
128,najran,17.4924,44.1277,30.31,13,1,1.44,SA,1725947857
129,punta arenas,-53.15,-70.9167,2.06,87,40,10.29,CL,1725947410
130,champerico,14.3,-91.9167,25.83,91,95,3.57,GT,1725947857
131,iqaluit,63.7506,-68.5145,3.85,55,0,2.06,CA,1725947534
132,sao gabriel da cachoeira,-0.1303,-67.0892,24.85,70,25,0.93,BR,1725947857
133,san julian,21.0167,-102.1667,17.77,69,100,1.63,MX,1725947858
134,egilsstadir,65.2653,-14.3948,3.95,81,100,4.12,IS,1725947543
135,garachico,28.7781,-17.7646,21.06,78,100,5.66,ES,1725947858
136,aksu,41.1231,80.2644,23.07,33,92,1.9,CN,1725947858
137,vilyuysk,63.7553,121.6247,13.45,67,100,0.44,RU,1725947594
138,inarajan village,13.2736,144.7484,28.55,90,100,9.73,GU,1725947858
139,quellon,-43.1167,-73.6167,6.17,83,100,6.32,CL,1725947858
140,byron bay,-28.65,153.6167,21.58,62,48,4.9,AU,1725947858
141,auch,43.65,0.5833,17.36,85,94,0.45,FR,1725947859
142,dusti,37.3481,68.664,25.44,12,0,0.84,TJ,1725947859
143,newman,37.3138,-121.0208,20.03,52,0,2.83,US,1725947566
144,carnarvon,-24.8667,113.6333,21.95,52,0,8.48,AU,1725947538
145,lompoc,34.6391,-120.4579,14.52,81,0,1.54,US,1725947542
